Casting No. / Batch No.,Zn,Fe,Si,Cu,In,Mg,Sn,Ti,Cd,Ga,B,Na,Ni,Oth,V,Al(By Diff)
26A0278119,0.0016,0.072,0.073,0.0006,,0.0041,,0.0008,,0.011,0.0031,0.0046,0.0024,0.01,0.0081,99.811
26A0280135,0.0018,0.062,0.065,0.0004,,0.0014,,0.001,,0.0108,0.0024,0.0041,0.0035,0.01,0.0103,99.83
26E0329316,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26D0286311,0.0015,0.071,0.066,0.0005,,0.0041,,0.0008,,0.0111,0.0027,0.0036,0.0027,0.01,0.0075,99.82
26D0286312,0.0015,0.071,0.066,0.0005,,0.0041,,0.0008,,0.0111,0.0027,0.0036,0.0027,0.01,0.0075,99.82
26E0329401,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26E0331424,0.0019,0.067,0.069,0.0007,,0.0042,,0.001,,0.0106,0.0026,0.0063,0.0022,0.01,0.009,99.818
26A0275120,0.0017,0.088,0.08,0.0004,,0.0117,,0.0011,,0.0106,0.0023,0.0032,0.0036,0.01,0.0086,99.78
26B0321101,0.0017,0.074,0.078,0.0005,,0.0077,,0.0008,,0.0109,0.0021,0.0039,0.0031,0.01,0.0074,99.801
26B0312223,0.0017,0.082,0.074,0.0005,,0.0117,,0.001,,0.0108,0.0028,0.005,0.0023,0.01,0.0097,99.791
26B0312224,0.0017,0.082,0.074,0.0005,,0.0117,,0.001,,0.0108,0.0028,0.005,0.0023,0.01,0.0097,99.791
26D0274301,0.0019,0.1,0.071,0.004,,0.0016,,0.0008,,0.0112,0.0027,0.0035,0.003,0.01,0.0087,99.786
26E0329412,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26E0329413,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26E0329414,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26A0269221,0.0015,0.073,0.067,0.0007,,0.0079,,0.0008,,0.0109,0.0029,0.0052,0.0025,0.01,0.0084,99.811
26A0269222,0.0015,0.073,0.067,0.0007,,0.0079,,0.0008,,0.0109,0.0029,0.0052,0.0025,0.01,0.0084,99.811
26B0303201,0.0017,0.072,0.063,0.0004,,0.0012,,0.0013,,0.011,0.0029,0.0041,0.0036,0.01,0.0095,99.822
26A0280122,0.0018,0.062,0.065,0.0004,,0.0014,,0.001,,0.0108,0.0024,0.0041,0.0035,0.01,0.0103,99.83
26E0320408,0.0017,0.097,0.075,0.0008,,0.0101,,0.001,,0.0109,0.003,0.006,0.0025,0.01,0.0095,99.774
26E0320409,0.0017,0.097,0.075,0.0008,,0.0101,,0.001,,0.0109,0.003,0.006,0.0025,0.01,0.0095,99.774
26F0254301,0.0017,0.069,0.062,0.0007,,0.0012,,0.0008,,0.0109,0.0019,0.0031,0.0031,0.01,0.0079,99.83
26C0278118,0.0016,0.08,0.066,0.0008,,0.0008,,0.0008,,0.0113,0.0027,0.0034,0.0026,0.01,0.0077,99.815
26D0276303,0.0019,0.078,0.064,0.0002,,0.0091,,0.0009,,0.0106,0.0023,0.0034,0.0024,0.01,0.0076,99.813
26D0276304,0.0019,0.078,0.064,0.0002,,0.0091,,0.0009,,0.0106,0.0023,0.0034,0.0024,0.01,0.0076,99.813
26E0299439,0.0016,0.085,0.084,0.0005,,0.009,,0.001,,0.0113,0.0024,0.0045,0.0028,0.01,0.0077,99.783
26E0300316,0.0017,0.082,0.072,0.0004,,0.0012,,0.0012,,0.0117,0.0028,0.0057,0.0029,0.01,0.0084,99.802
26E0300317,0.0017,0.082,0.072,0.0004,,0.0012,,0.0012,,0.0117,0.0028,0.0057,0.0029,0.01,0.0084,99.802
26F0238331,0.0015,0.068,0.059,0.0005,,0.0022,,0.0007,,0.0107,0.0026,0.0026,0.0022,0.01,0.0089,99.834
26F0238332,0.0015,0.068,0.059,0.0005,,0.0022,,0.0007,,0.0107,0.0026,0.0026,0.0022,0.01,0.0089,99.834
26F0238333,0.0015,0.068,0.059,0.0005,,0.0022,,0.0007,,0.0107,0.0026,0.0026,0.0022,0.01,0.0089,99.834
26E0300303,0.0017,0.082,0.072,0.0004,,0.0012,,0.0012,,0.0117,0.0028,0.0057,0.0029,0.01,0.0084,99.802
26E0300304,0.0017,0.082,0.072,0.0004,,0.0012,,0.0012,,0.0117,0.0028,0.0057,0.0029,0.01,0.0084,99.802
26E0300305,0.0017,0.082,0.072,0.0004,,0.0012,,0.0012,,0.0117,0.0028,0.0057,0.0029,0.01,0.0084,99.802
26A0264218,0.0015,0.066,0.063,0.0004,,0.001,,0.0007,,0.0108,0.0031,0.005,0.0025,0.01,0.0089,99.83
26A0265120,0.0018,0.078,0.095,0.0004,,0.0011,,0.0009,,0.0105,0.0031,0.0051,0.0033,0.01,0.0097,99.783
26A0265202,0.0018,0.078,0.095,0.0004,,0.0011,,0.0009,,0.0105,0.0031,0.0051,0.0033,0.01,0.0097,99.783
26A0248106,0.0015,0.072,0.073,0.0007,,0.0119,,0.001,,0.0109,0.0026,0.0035,0.0025,0.01,0.009,99.803
26A0275201,0.0017,0.088,0.08,0.0004,,0.0117,,0.0011,,0.0106,0.0023,0.0032,0.0036,0.01,0.0086,99.78
26A0275202,0.0017,0.088,0.08,0.0004,,0.0117,,0.0011,,0.0106,0.0023,0.0032,0.0036,0.01,0.0086,99.78
26E0332403,0.0016,0.084,0.069,0.0005,,0.0041,,0.0011,,0.011,0.003,0.0035,0.003,0.01,0.0081,99.803
26E0332404,0.0016,0.084,0.069,0.0005,,0.0041,,0.0011,,0.011,0.003,0.0035,0.003,0.01,0.0081,99.803
26E0332414,0.0016,0.084,0.069,0.0005,,0.0041,,0.0011,,0.011,0.003,0.0035,0.003,0.01,0.0081,99.803
26E0331414,0.0019,0.067,0.069,0.0007,,0.0042,,0.001,,0.0106,0.0026,0.0063,0.0022,0.01,0.009,99.818
26E0331415,0.0019,0.067,0.069,0.0007,,0.0042,,0.001,,0.0106,0.0026,0.0063,0.0022,0.01,0.009,99.818
26F0261319,0.002,0.087,0.083,0.0002,,0.0108,,0.001,,0.0112,0.0025,0.0026,0.0028,0.01,0.0079,99.782
26A0275212,0.0017,0.088,0.08,0.0004,,0.0117,,0.0011,,0.0106,0.0023,0.0032,0.0036,0.01,0.0086,99.78
26D0286305,0.0015,0.071,0.066,0.0005,,0.0041,,0.0008,,0.0111,0.0027,0.0036,0.0027,0.01,0.0075,99.82
26E0327301,0.0016,0.084,0.077,0.0004,,0.008,,0.001,,0.0108,0.003,0.0035,0.0026,0.01,0.008,99.792
26A0280121,0.0018,0.062,0.065,0.0004,,0.0014,,0.001,,0.0108,0.0024,0.0041,0.0035,0.01,0.0103,99.83
26B0315103,0.0016,0.077,0.067,0.0006,,0.0054,,0.0012,,0.0108,0.003,0.0056,0.0023,0.01,0.0084,99.81
26C0278207,0.0016,0.08,0.066,0.0008,,0.0008,,0.0008,,0.0113,0.0027,0.0034,0.0026,0.01,0.0077,99.815
26C0278208,0.0016,0.08,0.066,0.0008,,0.0008,,0.0008,,0.0113,0.0027,0.0034,0.0026,0.01,0.0077,99.815
26D0276411,0.0019,0.078,0.064,0.0002,,0.0091,,0.0009,,0.0106,0.0023,0.0034,0.0024,0.01,0.0076,99.813
26C0280125,0.0018,0.072,0.075,0.0008,,0.0099,,0.001,,0.0108,0.003,0.0039,0.0029,0.01,0.0101,99.801
26C0280126,0.0018,0.072,0.075,0.0008,,0.0099,,0.001,,0.0108,0.003,0.0039,0.0029,0.01,0.0101,99.801
26D0277313,0.0016,0.084,0.073,0.0004,,0.01,,0.0011,,0.0111,0.0026,0.0043,0.0025,0.01,0.0074,99.795
26C0282113,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26C0282114,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26C0282115,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26E0316412,0.0016,0.077,0.064,0.0007,,0.0116,,0.001,,0.011,0.0027,0.0053,0.0022,0.01,0.0095,99.807
26E0316413,0.0016,0.077,0.064,0.0007,,0.0116,,0.001,,0.011,0.0027,0.0053,0.0022,0.01,0.0095,99.807
26E0316414,0.0016,0.077,0.064,0.0007,,0.0116,,0.001,,0.011,0.0027,0.0053,0.0022,0.01,0.0095,99.807
26C0276118,0.0015,0.074,0.07,0.0006,,0.0021,,0.0007,,0.0111,0.0029,0.0047,0.0026,0.01,0.0084,99.814
26C0276119,0.0015,0.074,0.07,0.0006,,0.0021,,0.0007,,0.0111,0.0029,0.0047,0.0026,0.01,0.0084,99.814
26C0276120,0.0015,0.074,0.07,0.0006,,0.0021,,0.0007,,0.0111,0.0029,0.0047,0.0026,0.01,0.0084,99.814
26B0304215,0.0017,0.07,0.063,0.0006,,0.002,,0.0008,,0.0109,0.0028,0.0058,0.0021,0.01,0.0091,99.824
26B0304216,0.0017,0.07,0.063,0.0006,,0.002,,0.0008,,0.0109,0.0028,0.0058,0.0021,0.01,0.0091,99.824
26B0304217,0.0017,0.07,0.063,0.0006,,0.002,,0.0008,,0.0109,0.0028,0.0058,0.0021,0.01,0.0091,99.824
26F0254410,0.0017,0.069,0.062,0.0007,,0.0012,,0.0008,,0.0109,0.0019,0.0031,0.0031,0.01,0.0079,99.83
26F0254411,0.0017,0.069,0.062,0.0007,,0.0012,,0.0008,,0.0109,0.0019,0.0031,0.0031,0.01,0.0079,99.83
26F0254412,0.0017,0.069,0.062,0.0007,,0.0012,,0.0008,,0.0109,0.0019,0.0031,0.0031,0.01,0.0079,99.83
26C0278212,0.0016,0.08,0.066,0.0008,,0.0008,,0.0008,,0.0113,0.0027,0.0034,0.0026,0.01,0.0077,99.815
26C0279210,0.0017,0.071,0.069,0.0006,,0.0081,,0.0009,,0.0109,0.0026,0.0062,0.0023,0.01,0.009,99.811
26C0279211,0.0017,0.071,0.069,0.0006,,0.0081,,0.0009,,0.0109,0.0026,0.0062,0.0023,0.01,0.009,99.811
26A0250107,0.0019,0.074,0.063,0.0004,,0.0008,,0.0009,,0.0107,0.0029,0.0037,0.0027,0.01,0.0091,99.823
26A0250108,0.0019,0.074,0.063,0.0004,,0.0008,,0.0009,,0.0107,0.0029,0.0037,0.0027,0.01,0.0091,99.823
26A0250109,0.0019,0.074,0.063,0.0004,,0.0008,,0.0009,,0.0107,0.0029,0.0037,0.0027,0.01,0.0091,99.823
26C0282203,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26C0282204,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26C0282219,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26B0315102,0.0016,0.077,0.067,0.0006,,0.0054,,0.0012,,0.0108,0.003,0.0056,0.0023,0.01,0.0084,99.81
26C0282116,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26C0282211,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26C0282212,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26E0320402,0.0017,0.097,0.075,0.0008,,0.0101,,0.001,,0.0109,0.003,0.006,0.0025,0.01,0.0095,99.774
26E0320403,0.0017,0.097,0.075,0.0008,,0.0101,,0.001,,0.0109,0.003,0.006,0.0025,0.01,0.0095,99.774
26E0324401,0.0016,0.07,0.066,0.0004,,0.0011,,0.0008,,0.0111,0.0035,0.0055,0.0026,0.01,0.0092,99.821
26A0269202,0.0015,0.073,0.067,0.0007,,0.0079,,0.0008,,0.0109,0.0029,0.0052,0.0025,0.01,0.0084,99.811
26A0269203,0.0015,0.073,0.067,0.0007,,0.0079,,0.0008,,0.0109,0.0029,0.0052,0.0025,0.01,0.0084,99.811
26A0269204,0.0015,0.073,0.067,0.0007,,0.0079,,0.0008,,0.0109,0.0029,0.0052,0.0025,0.01,0.0084,99.811
26B0311115,0.0016,0.084,0.076,0.0008,,0.0143,,0.0012,,0.0108,0.0027,0.005,0.0024,0.01,0.0085,99.786
26B0311116,0.0016,0.084,0.076,0.0008,,0.0143,,0.0012,,0.0108,0.0027,0.005,0.0024,0.01,0.0085,99.786
26D0273416,0.0016,0.084,0.086,0.0004,,0.0091,,0.0011,,0.0111,0.0029,0.0029,0.0028,0.01,0.0075,99.783
26E0323308,0.0016,0.086,0.076,0.0005,,0.0075,,0.0015,,0.0114,0.0034,0.0044,0.0027,0.01,0.0088,99.788
26A0254202,0.0017,0.069,0.067,0.0006,,0.0101,,0.0007,,0.0109,0.0025,0.0046,0.0023,0.01,0.0082,99.815
26A0254211,0.0017,0.069,0.067,0.0006,,0.0101,,0.0007,,0.0109,0.0025,0.0046,0.0023,0.01,0.0082,99.815
26D0268309,0.0017,0.092,0.09,0.0022,,0.0096,,0.001,,0.0108,0.0028,0.0039,0.0024,0.01,0.0092,99.766
26D0268310,0.0017,0.092,0.09,0.0022,,0.0096,,0.001,,0.0108,0.0028,0.0039,0.0024,0.01,0.0092,99.766
26D0268318,0.0017,0.092,0.09,0.0022,,0.0096,,0.001,,0.0108,0.0028,0.0039,0.0024,0.01,0.0092,99.766
26B0307216,0.0016,0.082,0.074,0.0006,,0.0076,,0.0008,,0.0107,0.0026,0.0041,0.0024,0.01,0.0085,99.798
26D0271410,0.0015,0.071,0.06,0.0006,,0.0026,,0.0008,,0.011,0.0026,0.0035,0.0027,0.01,0.0077,99.828
26D0271411,0.0015,0.071,0.06,0.0006,,0.0026,,0.0008,,0.011,0.0026,0.0035,0.0027,0.01,0.0077,99.828
26E0317311,0.0019,0.068,0.065,0.0002,,0.005,,0.0007,,0.0107,0.0024,0.0032,0.0026,0.01,0.0082,99.826
26E0317312,0.0019,0.068,0.065,0.0002,,0.005,,0.0007,,0.0107,0.0024,0.0032,0.0026,0.01,0.0082,99.826
26E0317313,0.0019,0.068,0.065,0.0002,,0.005,,0.0007,,0.0107,0.0024,0.0032,0.0026,0.01,0.0082,99.826
26B0314216,0.0017,0.07,0.071,0.0004,,0.005,,0.0009,,0.0107,0.0028,0.0048,0.0034,0.01,0.0093,99.813
26B0314217,0.0017,0.07,0.071,0.0004,,0.005,,0.0009,,0.0107,0.0028,0.0048,0.0034,0.01,0.0093,99.813
26B0314218,0.0017,0.07,0.071,0.0004,,0.005,,0.0009,,0.0107,0.0028,0.0048,0.0034,0.01,0.0093,99.813
26D0268342,0.0017,0.092,0.09,0.0022,,0.0096,,0.001,,0.0108,0.0028,0.0039,0.0024,0.01,0.0092,99.766
26D0278308,0.0019,0.07,0.056,0.0002,,0.0015,,0.0014,,0.011,0.0028,0.0047,0.0026,0.01,0.0102,99.83
26E0313311,0.0016,0.071,0.065,0.0004,,0.0051,,0.0011,,0.0115,0.003,0.0052,0.0029,0.01,0.0098,99.815
26F0250417,0.0016,0.076,0.072,0.0007,,0.012,,0.0009,,0.0106,0.0027,0.0065,0.0023,0.01,0.0081,99.798
26C0278119,0.0016,0.08,0.066,0.0008,,0.0008,,0.0008,,0.0113,0.0027,0.0034,0.0026,0.01,0.0077,99.815
26C0287128,0.0016,0.069,0.072,0.0005,,0.0036,,0.0011,,0.0112,0.0026,0.0045,0.0025,0.01,0.0084,99.815
26C0287129,0.0016,0.069,0.072,0.0005,,0.0036,,0.0011,,0.0112,0.0026,0.0045,0.0025,0.01,0.0084,99.815
26C0287140,0.0016,0.069,0.072,0.0005,,0.0036,,0.0011,,0.0112,0.0026,0.0045,0.0025,0.01,0.0084,99.815
26E0330425,0.0016,0.083,0.069,0.0005,,0.0041,,0.001,,0.0109,0.0032,0.0035,0.0029,0.01,0.0082,99.804
26E0330426,0.0016,0.083,0.069,0.0005,,0.0041,,0.001,,0.0109,0.0032,0.0035,0.0029,0.01,0.0082,99.804
26D0284305,0.002,0.071,0.065,0.0001,,0.0063,,0.001,,0.0112,0.0024,0.003,0.0026,0.01,0.0079,99.82
26D0284412,0.002,0.071,0.065,0.0001,,0.0063,,0.001,,0.0112,0.0024,0.003,0.0026,0.01,0.0079,99.82
26D0284413,0.002,0.071,0.065,0.0001,,0.0063,,0.001,,0.0112,0.0024,0.003,0.0026,0.01,0.0079,99.82
26D0285403,0.0018,0.064,0.062,0.0004,,0.0047,,0.0008,,0.011,0.0019,0.0033,0.0035,0.01,0.0082,99.83
26D0285409,0.0018,0.064,0.062,0.0004,,0.0047,,0.0008,,0.011,0.0019,0.0033,0.0035,0.01,0.0082,99.83
26D0286310,0.0015,0.071,0.066,0.0005,,0.0041,,0.0008,,0.0111,0.0027,0.0036,0.0027,0.01,0.0075,99.82
26D0286306,0.0015,0.071,0.066,0.0005,,0.0041,,0.0008,,0.0111,0.0027,0.0036,0.0027,0.01,0.0075,99.82
26E0331416,0.0019,0.067,0.069,0.0007,,0.0042,,0.001,,0.0106,0.0026,0.0063,0.0022,0.01,0.009,99.818
26E0331417,0.0019,0.067,0.069,0.0007,,0.0042,,0.001,,0.0106,0.0026,0.0063,0.0022,0.01,0.009,99.818
26E0313319,0.0016,0.071,0.065,0.0004,,0.0051,,0.0011,,0.0115,0.003,0.0052,0.0029,0.01,0.0098,99.815
26E0313320,0.0016,0.071,0.065,0.0004,,0.0051,,0.0011,,0.0115,0.003,0.0052,0.0029,0.01,0.0098,99.815
26E0313321,0.0016,0.071,0.065,0.0004,,0.0051,,0.0011,,0.0115,0.003,0.0052,0.0029,0.01,0.0098,99.815
26D0274305,0.0019,0.1,0.071,0.004,,0.0016,,0.0008,,0.0112,0.0027,0.0035,0.003,0.01,0.0087,99.786
26D0274306,0.0019,0.1,0.071,0.004,,0.0016,,0.0008,,0.0112,0.0027,0.0035,0.003,0.01,0.0087,99.786
26D0274307,0.0019,0.1,0.071,0.004,,0.0016,,0.0008,,0.0112,0.0027,0.0035,0.003,0.01,0.0087,99.786
26E0329304,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26E0329305,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26E0329411,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26E0329301,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26E0329302,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26E0329312,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26A0262102,0.0016,0.066,0.058,0.0005,,0.0015,,0.0006,,0.0111,0.003,0.0033,0.0026,0.01,0.0081,99.836
26A0262103,0.0016,0.066,0.058,0.0005,,0.0015,,0.0006,,0.0111,0.003,0.0033,0.0026,0.01,0.0081,99.836
26A0262104,0.0016,0.066,0.058,0.0005,,0.0015,,0.0006,,0.0111,0.003,0.0033,0.0026,0.01,0.0081,99.836
26C0282216,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26C0282217,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26C0287127,0.0016,0.069,0.072,0.0005,,0.0036,,0.0011,,0.0112,0.0026,0.0045,0.0025,0.01,0.0084,99.815
26A0264217,0.0015,0.066,0.063,0.0004,,0.001,,0.0007,,0.0108,0.0031,0.005,0.0025,0.01,0.0089,99.83
26B0311104,0.0016,0.084,0.076,0.0008,,0.0143,,0.0012,,0.0108,0.0027,0.005,0.0024,0.01,0.0085,99.786
26B0311111,0.0016,0.084,0.076,0.0008,,0.0143,,0.0012,,0.0108,0.0027,0.005,0.0024,0.01,0.0085,99.786
26B0311112,0.0016,0.084,0.076,0.0008,,0.0143,,0.0012,,0.0108,0.0027,0.005,0.0024,0.01,0.0085,99.786
26E0305308,0.0015,0.07,0.065,0.0006,,0.008,,0.001,,0.0107,0.0027,0.0027,0.0023,0.01,0.0097,99.819
26E0305309,0.0015,0.07,0.065,0.0006,,0.008,,0.001,,0.0107,0.0027,0.0027,0.0023,0.01,0.0097,99.819
26E0306401,0.0015,0.077,0.058,0.0004,,0.007,,0.0019,,0.0115,0.0025,0.0057,0.0025,0.01,0.0089,99.815
26E0328428,0.0016,0.083,0.075,0.0004,,0.0078,,0.001,,0.0109,0.003,0.0035,0.0025,0.01,0.0082,99.795
26E0328429,0.0016,0.083,0.075,0.0004,,0.0078,,0.001,,0.0109,0.003,0.0035,0.0025,0.01,0.0082,99.795
26E0332402,0.0016,0.084,0.069,0.0005,,0.0041,,0.0011,,0.011,0.003,0.0035,0.003,0.01,0.0081,99.803
26D0285424,0.0018,0.064,0.062,0.0004,,0.0047,,0.0008,,0.011,0.0019,0.0033,0.0035,0.01,0.0082,99.83
26E0328415,0.0016,0.083,0.075,0.0004,,0.0078,,0.001,,0.0109,0.003,0.0035,0.0025,0.01,0.0082,99.795
26E0328416,0.0016,0.083,0.075,0.0004,,0.0078,,0.001,,0.0109,0.003,0.0035,0.0025,0.01,0.0082,99.795
26E0332418,0.0016,0.084,0.069,0.0005,,0.0041,,0.0011,,0.011,0.003,0.0035,0.003,0.01,0.0081,99.803
26E0332419,0.0016,0.084,0.069,0.0005,,0.0041,,0.0011,,0.011,0.003,0.0035,0.003,0.01,0.0081,99.803
26E0332420,0.0016,0.084,0.069,0.0005,,0.0041,,0.0011,,0.011,0.003,0.0035,0.003,0.01,0.0081,99.803
26E0327326,0.0016,0.084,0.077,0.0004,,0.008,,0.001,,0.0108,0.003,0.0035,0.0026,0.01,0.008,99.792
26E0327327,0.0016,0.084,0.077,0.0004,,0.008,,0.001,,0.0108,0.003,0.0035,0.0026,0.01,0.008,99.792
26E0331402,0.0019,0.067,0.069,0.0007,,0.0042,,0.001,,0.0106,0.0026,0.0063,0.0022,0.01,0.009,99.818
26A0280136,0.0018,0.062,0.065,0.0004,,0.0014,,0.001,,0.0108,0.0024,0.0041,0.0035,0.01,0.0103,99.83
26A0280137,0.0018,0.062,0.065,0.0004,,0.0014,,0.001,,0.0108,0.0024,0.0041,0.0035,0.01,0.0103,99.83
26D0287423,0.002,0.069,0.069,0.0002,,0.0021,,0.0007,,0.011,0.0027,0.0033,0.0026,0.01,0.0085,99.822
26E0330419,0.0016,0.083,0.069,0.0005,,0.0041,,0.001,,0.0109,0.0032,0.0035,0.0029,0.01,0.0082,99.804
26E0330420,0.0016,0.083,0.069,0.0005,,0.0041,,0.001,,0.0109,0.0032,0.0035,0.0029,0.01,0.0082,99.804
26E0330421,0.0016,0.083,0.069,0.0005,,0.0041,,0.001,,0.0109,0.0032,0.0035,0.0029,0.01,0.0082,99.804
26D0285452,0.0018,0.064,0.062,0.0004,,0.0047,,0.0008,,0.011,0.0019,0.0033,0.0035,0.01,0.0082,99.83
26E0329402,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26E0329403,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26A0277101,0.0016,0.074,0.076,0.0005,,0.0068,,0.0008,,0.0111,0.0023,0.0038,0.0026,0.01,0.0066,99.806
26A0277102,0.0016,0.074,0.076,0.0005,,0.0068,,0.0008,,0.0111,0.0023,0.0038,0.0026,0.01,0.0066,99.806
26A0277103,0.0016,0.074,0.076,0.0005,,0.0068,,0.0008,,0.0111,0.0023,0.0038,0.0026,0.01,0.0066,99.806
26E0323309,0.0016,0.086,0.076,0.0005,,0.0075,,0.0015,,0.0114,0.0034,0.0044,0.0027,0.01,0.0088,99.788
26E0323310,0.0016,0.086,0.076,0.0005,,0.0075,,0.0015,,0.0114,0.0034,0.0044,0.0027,0.01,0.0088,99.788
26C0281202,0.0016,0.073,0.074,0.0005,,0.0093,,0.0019,,0.0109,0.0029,0.004,0.0037,0.01,0.0102,99.8
26C0277112,0.0016,0.08,0.07,0.0005,,0.0009,,0.0006,,0.0115,0.0029,0.0044,0.0031,0.01,0.0078,99.809
26C0277113,0.0016,0.08,0.07,0.0005,,0.0009,,0.0006,,0.0115,0.0029,0.0044,0.0031,0.01,0.0078,99.809
26F0253425,0.0015,0.062,0.064,0.0004,,0.0013,,0.0007,,0.0109,0.0024,0.0029,0.0023,0.01,0.0075,99.837
26F0253426,0.0015,0.062,0.064,0.0004,,0.0013,,0.0007,,0.0109,0.0024,0.0029,0.0023,0.01,0.0075,99.837
26F0253427,0.0015,0.062,0.064,0.0004,,0.0013,,0.0007,,0.0109,0.0024,0.0029,0.0023,0.01,0.0075,99.837
26B0306221,0.0017,0.076,0.071,0.0006,,0.0098,,0.0011,,0.0112,0.0029,0.0039,0.0032,0.01,0.0104,99.8
26C0271101,0.0016,0.08,0.079,0.0004,,0.0057,,0.0012,,0.0114,0.0027,0.004,0.0028,0.01,0.0082,99.795
26C0276117,0.0015,0.074,0.07,0.0006,,0.0021,,0.0007,,0.0111,0.0029,0.0047,0.0026,0.01,0.0084,99.814
26A0258202,0.0019,0.092,0.063,0.0001,,0.0016,,0.0007,,0.0105,0.0028,0.003,0.0026,0.01,0.0086,99.806
26A0258203,0.0019,0.092,0.063,0.0001,,0.0016,,0.0007,,0.0105,0.0028,0.003,0.0026,0.01,0.0086,99.806
26A0258216,0.0019,0.092,0.063,0.0001,,0.0016,,0.0007,,0.0105,0.0028,0.003,0.0026,0.01,0.0086,99.806
26C0277108,0.0016,0.08,0.07,0.0005,,0.0009,,0.0006,,0.0115,0.0029,0.0044,0.0031,0.01,0.0078,99.809
26C0278210,0.0016,0.08,0.066,0.0008,,0.0008,,0.0008,,0.0113,0.0027,0.0034,0.0026,0.01,0.0077,99.815
26C0278211,0.0016,0.08,0.066,0.0008,,0.0008,,0.0008,,0.0113,0.0027,0.0034,0.0026,0.01,0.0077,99.815
26C0282220,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26C0282221,0.0015,0.072,0.072,0.0005,,0.0071,,0.0008,,0.0109,0.0024,0.0036,0.0024,0.01,0.0077,99.811
26D0268334,0.0017,0.092,0.09,0.0022,,0.0096,,0.001,,0.0108,0.0028,0.0039,0.0024,0.01,0.0092,99.766
26A0267215,0.0016,0.08,0.07,0.0006,,0.0016,,0.0009,,0.0108,0.003,0.0047,0.0023,0.01,0.0097,99.807
26A0267216,0.0016,0.08,0.07,0.0006,,0.0016,,0.0009,,0.0108,0.003,0.0047,0.0023,0.01,0.0097,99.807
26A0267217,0.0016,0.08,0.07,0.0006,,0.0016,,0.0009,,0.0108,0.003,0.0047,0.0023,0.01,0.0097,99.807
26B0306207,0.0017,0.076,0.071,0.0006,,0.0098,,0.0011,,0.0112,0.0029,0.0039,0.0032,0.01,0.0104,99.8
